model_input_clean,mod_input_raw,dat_output,check,variable_description,accum_op,source_file
sedimentary,sedimentary,cat_bushreed5,NA,Percent of watershed composed of geology class according to Reed & Bush (2001).,area weighted avg,BUSHREED_CAT_CONUS.csv
volcanic,volcanic,cat_bushreed6,NA,Percent of watershed composed of geology class according to Reed & Bush (2001).,area weighted avg,BUSHREED_CAT_CONUS.csv
water,water,cat_bushreed8,NA,Percent of watershed composed of geology class according to Reed & Bush (2001).,area weighted avg,BUSHREED_CAT_CONUS.csv
anorthositic,anorthositic,cat_bushreed9,NA,Percent of watershed composed of geology class according to Reed & Bush (2001).,area weighted avg,BUSHREED_CAT_CONUS.csv
intermediate,intermediate,cat_bushreed10,NA,Percent of watershed composed of geology class according to Reed & Bush (2001).,area weighted avg,BUSHREED_CAT_CONUS.csv
sgeo1,SGEO1,cat_hunt1,NA,Percent of watershed composed of surficial geology (Hunt 1979): Sea islands,area weighted avg,HUNT_CAT_CONUS.csv
sgeo2,SGEO2,cat_hunt2,NA,Coral,area weighted avg,HUNT_CAT_CONUS.csv
sgeo3,SGEO3,cat_hunt3,NA,Backshore deposits,area weighted avg,HUNT_CAT_CONUS.csv
sgeo4,SGEO4,cat_hunt4,NA,Pre-Wisconsinan drift,area weighted avg,HUNT_CAT_CONUS.csv
sgeo5,SGEO5,cat_hunt5,NA,"Till, or ground moraine",area weighted avg,HUNT_CAT_CONUS.csv
sgeo6,SGEO6,cat_hunt6,NA,"Ice-laid deposits, like tg but mostly sand and silt",area weighted avg,HUNT_CAT_CONUS.csv
sgeo7,SGEO7,cat_hunt7,NA,"Thin ice-laid deposits, like ts but thin and discontinuous.  Extensive exposure of underlying Cretaceous- and Tertiary-age formations",area weighted avg,HUNT_CAT_CONUS.csv
sgeo8,SGEO8,cat_hunt8,NA,Deposits of mountain glaciers,area weighted avg,HUNT_CAT_CONUS.csv
sgeo9,SGEO9,cat_hunt9,NA,"Gravel, sand and clay deposited by glacial streams adjacent to   or downstream from temporary ice fronts",area weighted avg,HUNT_CAT_CONUS.csv
sgeo10,SGEO10,cat_hunt10,NA,Floodplain and alluvium gravel terraces,area weighted avg,HUNT_CAT_CONUS.csv
sgeo11,SGEO11,cat_hunt11,NA,Fan gravels,area weighted avg,HUNT_CAT_CONUS.csv
sgeo12,SGEO12,cat_hunt12,NA,Fan sands,area weighted avg,HUNT_CAT_CONUS.csv
sgeo13,SGEO13,cat_hunt13,NA,Pliocene-age and older stream deposits on the Great Plains,area weighted avg,HUNT_CAT_CONUS.csv
sgeo14,SGEO14,cat_hunt14,NA,Lake deposits,area weighted avg,HUNT_CAT_CONUS.csv
sgeo15,SGEO15,cat_hunt15,NA,"Sand sheets, mostly with dunes or sand mounds at surface",area weighted avg,HUNT_CAT_CONUS.csv
sgeo16,SGEO16,cat_hunt16,NA,Sand sheets on sandy and gravelly Ogallala Formation in southern Great Plains,area weighted avg,HUNT_CAT_CONUS.csv
sgeo17,SGEO17,cat_hunt17,NA,Wisconsinan loess,area weighted avg,HUNT_CAT_CONUS.csv
sgeo18,SGEO18,cat_hunt18,NA,Deeply weathered loess,area weighted avg,HUNT_CAT_CONUS.csv
sgeo19,SGEO19,cat_hunt19,NA,Basalt,area weighted avg,HUNT_CAT_CONUS.csv
sgeo20,SGEO20,cat_hunt20,NA,Bedrock,area weighted avg,HUNT_CAT_CONUS.csv
sgeo21,SGEO21,cat_hunt21,NA,"Micaceous residuum without much quartz; clay,  mostly kaolinite",area weighted avg,HUNT_CAT_CONUS.csv
sgeo22,SGEO22,cat_hunt22,NA,"Residuum with abundant quartz; much less mica than rsh, but equal to clay",area weighted avg,HUNT_CAT_CONUS.csv
sgeo23,SGEO23,cat_hunt23,NA,Clay residuum with little mica or quartz; mostly massive kaolinitic clay,area weighted avg,HUNT_CAT_CONUS.csv
sgeo24,SGEO24,cat_hunt24,NA,"Red clay, massive clay that is generally kaolinitic",area weighted avg,HUNT_CAT_CONUS.csv
sgeo25,SGEO25,cat_hunt25,NA,"Cherty red clay; similar to rls, but with chert from the parent rock",area weighted avg,HUNT_CAT_CONUS.csv
sgeo26,SGEO26,cat_hunt26,NA,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from from parent rock",area weighted avg,HUNT_CAT_CONUS.csv
sgeo27,SGEO27,cat_hunt27,NA,"Sandy residuum, derived by intensive weathering of sandstone formations. Sand locally is in dunes",area weighted avg,HUNT_CAT_CONUS.csv
sgeo28,SGEO28,cat_hunt28,NA,"Clay residuum that swells when wet; developed by weathering  of poorly consolidated shale, containing the clay mineral montmorillonite, generally less than 10 feet",area weighted avg,HUNT_CAT_CONUS.csv
sgeo29,SGEO29,cat_hunt29,NA,"Loam; texture variable, ranging from sand to clay, mostly  non-swelling clay mineral, kaolinite; otherwise similar to rc",area weighted avg,HUNT_CAT_CONUS.csv
sgeo30,SGEO30,cat_hunt30,NA,"Intensively weathered upper Tertiary- and Quaternary-age gravels; thickness generally less than 30 feet,  distribution not completely known",area weighted avg,HUNT_CAT_CONUS.csv
sgeo31,SGEO31,cat_hunt31,NA,"Phosphatic clay; poorly sorted clay and phosphate pebbles or nodules in sandy matrix. Thickness 10 to 50 feet, commonly overlain by loose sand. Major source of phosphate fertilizer",area weighted avg,HUNT_CAT_CONUS.csv
sgeo32,SGEO32,cat_hunt32,NA,Sandy or silty residuum; probably includes loess. Depth generally less than 10 feet,area weighted avg,HUNT_CAT_CONUS.csv
sgeo33,SGEO33,cat_hunt33,NA,Silt on limestone; probably includes considerable loess; extensive bare rock,area weighted avg,HUNT_CAT_CONUS.csv
sgeo34,SGEO34,cat_hunt34,NA,Sandy ground; mostly on poorly consolidated sandstone  formations,area weighted avg,HUNT_CAT_CONUS.csv
sgeo35,SGEO35,cat_hunt35,NA,"Shaley or sandy ground; on mixed sandstone and shale formations; where shaley, contains considerable swelling clay",area weighted avg,HUNT_CAT_CONUS.csv
sgeo36,SGEO36,cat_hunt36,NA,"Sandy gypsiferous ground; many sinks, local dunes; vegetation scanty or lacking where there is much gypsum or other salt",area weighted avg,HUNT_CAT_CONUS.csv
sgeo37,SGEO37,cat_hunt37,NA,Clayey ground on weathered Permian- and/or Triassic-age red beds,area weighted avg,HUNT_CAT_CONUS.csv
sgeo38,SGEO38,cat_hunt38,NA,"Marshes, swamps, peat deposits; only locally thicker than 12 feet",area weighted avg,HUNT_CAT_CONUS.csv
sgeo39,SGEO39,cat_hunt39,NA,"Sandy coastal ground with organic layer over a shallow water  table, ground water podsols",area weighted avg,HUNT_CAT_CONUS.csv
sgeo40,SGEO40,cat_hunt40,NA,Sandy and stony colluvium derived mostly from sandstone and shale,area weighted avg,HUNT_CAT_CONUS.csv
sgeo41,SGEO41,cat_hunt41,NA,"Stony colluvium on limestone; considerable admixed silt,  possibly of loess origin",area weighted avg,HUNT_CAT_CONUS.csv
sgeo42,SGEO42,cat_hunt42,NA,Stony colluvium on metamorphic rocks; less silt and clay than in co/ls,area weighted avg,HUNT_CAT_CONUS.csv
sgeo43,SGEO43,cat_hunt43,NA,Colluvium on volcanic rocks,area weighted avg,HUNT_CAT_CONUS.csv
sgeo44,SGEO44,cat_hunt44,NA,Bouldery and sandy colluvium on granitic rocks,area weighted avg,HUNT_CAT_CONUS.csv
sgeo45,SGEO45,cat_hunt45,NA,Clayey and loamy colluvium; on poorly consolidated rocks on  lee sides of Pacific Coast Ranges,area weighted avg,HUNT_CAT_CONUS.csv
ko_pct,KO_pct,cat_olson_k,NA,Mean watershed percent Potassium Oxide concentration of lithology (percent).,area weighted avg,OLSON_CAT_CONUS.csv
ca_o_pct,CaO_pct,cat_olson_cao,NA,Mean watershed percent Calcium Oxide concentration of lithology (percent).,area weighted avg,OLSON_CAT_CONUS.csv
fe_o_pct,FeO_pct,cat_olson_fe,NA,Mean watershed percent Iron Oxide concentration of lithology (percent).,area weighted avg,OLSON_CAT_CONUS.csv
mg_o_pct,MgO_pct,cat_olson_mgo,NA,Mean watershed percent Magnesium Oxide concentration of lithology (percent).,area weighted avg,OLSON_CAT_CONUS.csv
p_pct,P_pct,cat_olson_p,NA,Mean watershed percent Phosphorus concentration of lithology (percent).,area weighted avg,OLSON_CAT_CONUS.csv
s_pct,S_pct,cat_olson_s,NA,Mean watershed percent Sulfur concentration of lithology (percent).,area weighted avg,OLSON_CAT_CONUS.csv
si_o_pct,SiO_pct,cat_olson_si,NA,Mean watershed percent Silica Oxide concentration of lithology (percent).,area weighted avg,OLSON_CAT_CONUS.csv
ucs,UCS,cat_olson_ucs,NA,"Mean watershed Rock Uniaxial Compressive Strength, megaPascals.",area weighted avg,OLSON_CAT_CONUS.csv
lperm,Lperm,cat_olson_perm,NA,Mean watershed rock hydraulic conductivity (x10^6 meters / second).,area weighted avg,OLSON_CAT_CONUS.csv
recharge,RECHARGE,cat_rechg,NA,"Mean watershed annual natural groundwater recharge,days.",area weighted avg,RECHG_CONUS.csv
krug_runoff,KRUG_RUNOFF,krug_runoff,NA,"based on polyline coverage of average annual runoff in the conterminous
United States, 1951-1980 (in), Gebert, W.A., Graczyk, D.J., and Krug, W.R. 1987",area weighted avg,KRUG_RUNOFF.csv
