model input,variable description,streamcat source var,source var description,nhdv2_attribute_type,accumulation operation,data source
sgeo30,"Intensively weathered upper Tertiary- and Quaternary-age gravels; thickness generally less than 30 feet,  distribution not completely known",cat_hunt30,,,area weighted avg,
sgeo31,"Phosphatic clay; poorly sorted clay and phosphate pebbles or nodules in sandy matrix. Thickness 10 to 50 feet, commonly overlain by loose sand. Major source of phosphate fertilizer",cat_hunt31,,,area weighted avg,
sgeo32,Sandy or silty residuum; probably includes loess. Depth generally less than 10 feet,cat_hunt32,,,area weighted avg,
sgeo33,Silt on limestone; probably includes considerable loess; extensive bare rock,cat_hunt33,,,area weighted avg,
sgeo34,Sandy ground; mostly on poorly consolidated sandstone  formations,cat_hunt34,,,area weighted avg,
sgeo35,"Shaley or sandy ground; on mixed sandstone and shale formations; where shaley, contains considerable swelling clay",cat_hunt35,,,area weighted avg,
sgeo36,"Sandy gypsiferous ground; many sinks, local dunes; vegetation scanty or lacking where there is much gypsum or other salt",cat_hunt36,,,area weighted avg,
sgeo37,Clayey ground on weathered Permian- and/or Triassic-age red beds,cat_hunt37,,,area weighted avg,
sgeo38,"Marshes, swamps, peat deposits; only locally thicker than 12 feet",cat_hunt38,,,area weighted avg,
sgeo39,"Sandy coastal ground with organic layer over a shallow water  table, ground water podsols",cat_hunt39,,,area weighted avg,
sgeo40,Sandy and stony colluvium derived mostly from sandstone and shale,cat_hunt40,,,area weighted avg,
sgeo41,"Stony colluvium on limestone; considerable admixed silt,  possibly of loess origin",cat_hunt41,,,area weighted avg,
sgeo42,Stony colluvium on metamorphic rocks; less silt and clay than in co/ls,cat_hunt42,,,area weighted avg,
sgeo43,Colluvium on volcanic rocks,cat_hunt43,,,,
sgeo44,Bouldery and sandy colluvium on granitic rocks,cat_hunt44,,,,
sgeo45,Clayey and loamy colluvium; on poorly consolidated rocks on  lee sides of Pacific Coast Ranges,cat_hunt45,,,,
ko_pct,Mean watershed percent Potassium Oxide concentration of lithology (percent).,cat_olson_k,,,area weighted avg,
ca_o_pct,Mean watershed percent Calcium Oxide concentration of lithology (percent).,cat_olson_cao,,,area weighted avg,
fe_o_pct,Mean watershed percent Iron Oxide concentration of lithology (percent).,cat_olson_fe,,,area weighted avg,
mg_o_pct,Mean watershed percent Magnesium Oxide concentration of lithology (percent).,cat_olson_mgo,,,area weighted avg,
p_pct,Mean watershed percent Phosphorus concentration of lithology (percent).,cat_olson_p,,,area weighted avg,
s_pct,Mean watershed percent Sulfur concentration of lithology (percent).,cat_olson_s,,,area weighted avg,
si_o_pct,Mean watershed percent Silica Oxide concentration of lithology (percent).,cat_olson_si,,,area weighted avg,
ucs,"Mean watershed Rock Uniaxial Compressive Strength, megaPascals.",cat_olson_ucs,,,area weighted avg,
lperm,Mean watershed rock hydraulic conductivity (x10^6 meters / second).,cat_olson_perm,,,area weighted avg,
recharge,"Mean watershed annual natural groundwater recharge,days.",cat_rechg,,,,
krug_runoff,"based on polyline coverage of average annual runoff in the conterminous
United States, 1951-1980 (in), Gebert, W.A., Graczyk, D.J., and Krug, W.R. 1987",krug_runoff,,,,
,,,,,,
NOT IN MODEL,,,,,,
pmpe,"Watershed mean index of aridity, computed as the difference between mean annual ET and mean annual precipitation.",,,,,
bdmax,Unknown,cat_maxwd6190,? Not sure...,,,
pmax_ws,Unknown,cat_maxp6190,? Not sure...,,,
tmin_ws,Unknown,cat_tmin7100,? Not sure...,,,
permh_ws,Unknown,,,,,
pmin_ws,Unknown,cat_minp6190,? Not sure...,,,
